;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;LTM
"Дата отчета";24.11.2023;24.11.2023;24.11.2023;24.11.2023;24.11.2023;30.06.2018;30.06.2018;30.06.2018;31.08.2018;18.05.2018;12.03.2019;03.03.2020;09.03.2021;04.03.2022;17.08.2023;26.02.2024;26.02.2025;13.11.2025
"Валюта отчета";RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB;RUB
"Акт. абоненты, млн чел";;;;;;;;10.9;11.6;11.9;12.0;12.2;12.4;;;;;
"ARPU, $/чел";;;;;;;;346.0;352.0;369.0;382.0;398.0;395.0;;;;;
"Выручка, млрд руб";;;;301.5;321.3;290.7;298.9;297.4;297.4;305.3;320.2;337.4;546.9;580.1;627.1;707.8;780.0;836.2
"Операционная прибыль, млрд руб";;;;;;;;;39.8;37.9;35.8;33.9;69.0;73.7;96.2;119.3;124.4;138.1
"EBITDA, млрд руб";89.4;101.6;101.4;117.7;118.6;104.1;102.5;100.8;96.8;96.9;100.9;170.7;194.1;218.8;248.0;283.2;302.5;316.0
"Чистая прибыль, млрд руб";27.0;26.3;31.3;42.5;35.2;26.7;13.2;14.4;11.8;13.7;14.4;20.2;23.3;28.5;31.0;34.4;15.2;0.540
"Операционный денежный поток, млрд руб";;;;;;;;;67.2;71.8;77.2;140.9;136.8;152.5;141.0;171.4;199.5;144.4
"CAPEX, млрд руб";;;;;91.2;52.9;53.8;62.7;61.9;60.8;73.2;134.4;136.0;147.8;116.9;147.2;178.8;171.8
"FCF, млрд руб";;;;;;18.8;27.3;22.0;13.3;20.4;36.3;17.4;8.55;14.4;22.9;20.8;13.1;-51.5
"Див.выплата, млрд руб";2.12;1.53;0.105;15.0;8.17;8.82;9.45;16.5;15.0;14.1;13.9;17.5;17.5;15.9;19.0;21.2;10.2;10.2
"Дивиденд, руб/акцию";1,941;1,4002;0;4,6959;2,44;3,12;3,34;5,92;5,39;5,05;5;5;5;4,56;5,4465;6,06;2,71;2,71
"Див доход, ао, %";1.2%;1.3%;0.0%;3.8%;2.0%;2.8%;3.8%;6.5%;6.4%;7.9%;6.8%;6.4%;5.2%;5.2%;9.7%;8.9%;4.1%;4.3%
"Дивиденд ап, руб/акцию";2,9124;2,1005;0,4344;4,6959;4,1;4,85;4,05;5,92;5,39;5,05;5;5;5;4,56;5,4465;6,06;6,25;6,25
"Див доход, ап, %";19.8%;3.3%;0.5%;4.9%;4.5%;6.5%;7.1%;8.6%;8.6%;9.0%;8.3%;7.1%;5.8%;6.0%;9.8%;9.7%;11.2%;10.2%
"Дивиденды/прибыль, %";8%;6%;0%;35%;23%;33%;72%;114%;128%;103%;97%;87%;75%;56%;61%;62%;67%;"1 890%"
"Опер. расходы, млрд руб";;;;241.3;267.4;245.5;258.9;258.8;257.6;267.4;284.4;417.5;477.9;506.4;530.8;588.5;655.6;698.5
"Амортизация, млрд руб";;;;;;;;;;;;104.0;119.7;140.0;149.1;157.5;172.3;173.9
"Расх на персонал, млрд руб";;;;76.3;84.3;;;91.1;90.3;93.4;97.4;120.0;136.4;137.2;151.4;175.9;198.7;218.3
"Процентные расходы, млрд руб";;;;;;;;;18.4;17.5;18.2;35.3;35.6;39.0;51.6;49.4;84.3;122.0
"Активы, млрд руб";;;;;;;;551.3;555.7;560.2;646.6;883.9;"1 000";"1 103";"1 125";"1 244";"1 381";"1 412"
"Чистые активы, млрд руб";;;;;;196.4;249.7;245.2;248.6;249.4;247.0;209.5;180.1;187.5;200.0;222.0;219.0;281.1
"Долг, млрд руб";143.7;116.1;138.0;172.8;214.4;217.8;126.6;186.5;187.1;191.4;204.3;361.8;404.9;444.4;449.0;487.9;571.8;623.1
"Наличность, млрд руб";19.6;13.6;12.6;7.38;10.4;7.96;7.17;16.9;4.26;3.82;10.1;19.6;31.0;49.6;52.3;44.7;46.4;24.9
"Чистый долг, млрд руб";124.1;102.5;125.4;165.4;204.0;209.8;119.5;169.6;182.8;187.6;194.2;342.2;373.9;394.8;396.7;443.3;525.4;598.2
"Цена акции ао, руб";158.8;105.5;155.8;123.5;120.4;111.0;87.0;90.6;84.0;63.9;73.1;78.4;96.8;87.2;56.0;68.3;65.8;62.7
"Число акций ао, млн";"5 189";"5 189";"5 189";"5 189";"5 189";"5 189";"5 189";"5 189";"2 575";"2 575";"2 575";"2 575";"3 283";"3 283";"3 283";"3 283";"3 283";"3 283"
"Цена акции ап, руб";14.7;63.9;80.0;95.3;90.5;74.8;57.1;69.1;62.8;56.0;60.4;70.2;85.6;76.2;55.6;62.8;56.0;61.2
"Число акций ап, млн";209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6;209.6
"Free Float, %";;;;;;;;;;;;;;;;;;29.0%
"Капитализация, млрд руб";827.3;560.8;824.9;660.5;643.7;591.5;463.4;484.3;229.5;176.3;200.8;216.5;335.7;302.3;195.5;237.5;227.7;218.6
